Player,Team,Age,GP,W,L,MIN,%FGA2PT,%FGA3PT,%PTS2PT,%PTS2PTMR,%PTS3PT,%PTSFBPs,%PTSFT,%PTSOffTO,%PTSPITP,2FGM%AST,2FGM%UAST,3FGM%AST,3FGM%UAST,FGM%AST,FGM%UAST
Kelly Oubre Jr.,CHA,26,73,36,37,26.5,41.1,58.9,39.0,1.8,50.0,14.9,11.0,19.9,37.2,60.7,39.3,92.9,7.1,75.6,24.4
Kenrich Williams,OKC,27,49,17,32,21.9,61.8,38.2,57.9,9.9,33.9,10.5,8.2,19.6,47.9,59.0,41.0,82.9,17.1,65.8,34.2
Kentavious Caldwell-Pope,WAS,29,76,34,42,30.3,50.7,49.3,39.4,18.6,47.0,13.0,13.6,16.0,20.8,62.3,37.7,91.1,8.9,75.1,24.9
Kenyon Martin Jr.,HOU,21,77,20,57,21.0,68.6,31.4,63.2,0.0,25.6,15.1,11.2,16.8,63.2,73.0,27.0,100,0.0,78.8,21.2
Kessler Edwards,BKN,21,45,19,26,20.1,47.7,52.3,41.5,10.0,53.1,13.8,5.4,14.2,31.5,63.0,37.0,100,0.0,80.0,20.0
Kevin Durant,BKN,33,52,33,19,37.0,73.7,26.3,56.8,27.3,21.0,11.8,22.2,12.3,29.6,49.1,50.9,53.2,46.8,49.9,50.1
Kevin Huerter,ATL,23,71,38,33,29.6,45.9,54.1,41.3,10.5,54.0,13.5,4.7,15.8,30.9,52.2,47.8,89.7,10.3,69.7,30.3
Kevin Love,CLE,33,72,37,35,22.6,37.5,62.5,28.2,8.5,55.0,6.5,16.8,14.0,19.7,57.4,42.6,93.2,6.8,77.6,22.4
Kevin Porter Jr.,HOU,21,59,16,43,31.0,48.5,51.5,37.8,5.9,49.0,11.0,13.2,14.2,32.0,26.8,73.2,51.0,49.0,38.0,62.0
Kevon Looney,GSW,26,79,50,29,21.4,99.7,0.3,84.3,5.0,0.0,4.6,15.7,12.2,79.2,73.1,26.9,0.0,0.0,73.1,26.9
Khem Birch,TOR,29,52,32,20,17.9,93.0,7.0,77.3,3.4,0.0,7.3,22.7,20.6,73.8,81.1,18.9,0.0,0.0,81.1,18.9
Khris Middleton,MIL,30,64,42,22,32.4,57.7,42.3,43.6,19.1,36.3,9.0,20.1,9.1,24.5,32.7,67.3,63.5,36.5,43.7,56.3
Killian Hayes,DET,20,63,21,42,25.1,64.1,35.9,58.4,9.8,29.4,12.9,12.2,19.6,48.6,32.0,68.0,90.5,9.5,46.7,53.3
Kristaps Porzingis,WAS,26,50,26,24,29.0,67.5,32.5,53.8,12.5,22.1,7.2,24.1,11.5,41.2,68.5,31.5,98.6,1.4,75.0,25.0
Kyle Anderson,MEM,28,66,45,21,21.4,77.1,22.9,66.9,5.7,20.3,13.1,12.8,18.5,61.2,50.3,49.7,97.0,3.0,58.2,41.8
Kyle Kuzma,WAS,26,66,29,37,33.4,59.9,40.1,52.2,8.0,34.0,10.3,13.8,10.9,44.2,49.2,50.8,88.3,11.7,61.0,39.0
Kyle Lowry,MIA,36,62,40,22,33.9,38.6,61.4,30.7,9.2,51.4,10.5,17.9,15.5,21.5,31.5,68.5,66.2,33.8,49.8,50.2
LaMarcus Aldridge,BKN,36,46,25,21,22.7,90.0,10.0,78.4,37.9,6.9,2.3,14.7,10.2,40.5,74.8,25.2,100,0.0,76.2,23.8
LaMelo Ball,CHA,20,72,36,36,32.4,55.1,44.9,42.8,6.8,42.9,14.4,14.3,16.4,36.0,26.4,73.6,76.1,23.9,46.3,53.7
Lamar Stevens,CLE,24,61,34,27,16.0,79.6,20.4,71.3,11.3,14.5,13.9,14.2,16.6,60.1,60.2,39.8,100,0.0,64.9,35.1
Lance Stephenson,IND,31,44,11,33,17.6,71.6,28.4,63.0,20.8,21.4,9.3,15.6,14.8,42.2,20.0,80.0,57.7,42.3,27.0,73.0
Landry Shamet,PHX,25,66,52,14,20.7,30.3,69.7,22.7,5.9,64.7,10.0,12.6,18.8,16.7,59.0,41.0,95.7,4.3,83.1,16.9
Larry Nance Jr.,NOP,29,43,18,25,22.9,71.1,28.9,65.3,2.7,22.0,7.7,12.7,17.0,62.7,68.4,31.6,100,0.0,74.2,25.8
Lauri Markkanen,CLE,24,59,31,28,31.0,45.7,54.3,39.1,3.7,45.3,13.0,15.6,16.5,35.3,69.0,31.0,99.2,0.8,82.2,17.8
LeBron James,LAL,37,56,25,31,37.2,63.3,36.7,56.5,9.2,28.5,15.8,15.0,14.0,47.3,40.7,59.3,55.9,44.1,44.5,55.5
Lonnie Walker IV,SAS,23,69,27,42,23.0,53.8,46.2,47.0,14.5,39.6,13.3,13.4,17.2,32.5,55.2,44.8,86.2,13.8,66.3,33.7
Lou Williams,ATL,35,56,33,23,14.3,68.1,31.9,49.7,22.0,31.4,6.2,18.9,7.3,27.7,34.1,65.9,73.0,27.0,45.6,54.4
Luguentz Dort,OKC,22,51,17,34,32.7,46.1,53.9,37.2,2.5,44.5,10.7,18.3,12.8,34.7,49.1,50.9,87.7,12.3,66.2,33.8
Luka Doncic,DAL,23,62,41,21,35.6,59.9,40.1,48.2,9.1,32.5,3.8,19.3,11.4,39.1,10.2,89.8,21.6,78.4,13.7,86.3
Luke Kennard,LAC,25,68,33,35,27.5,33.4,66.6,22.9,8.7,68.7,10.8,8.4,13.6,14.2,66.3,33.7,91.8,8.2,83.3,16.7
Malachi Flynn,TOR,23,41,23,18,11.8,50.0,50.0,45.1,15.0,46.8,11.0,8.1,11.6,30.1,20.5,79.5,77.8,22.2,43.9,56.1
Malik Beasley,MIN,25,77,45,32,25.1,25.3,74.7,19.5,4.9,75.5,16.7,5.0,18.5,14.6,64.8,35.2,90.2,9.8,83.1,16.9
Malik Monk,LAL,24,73,30,43,27.8,46.3,53.7,41.6,3.3,50.1,19.4,8.3,15.1,38.3,54.5,45.5,84.0,16.0,67.6,32.4
Marcus Morris Sr.,LAC,32,52,24,28,29.1,61.1,38.9,48.3,25.9,36.2,4.3,15.5,10.3,22.4,32.7,67.3,89.8,10.2,51.7,48.3
Marcus Smart,BOS,28,68,45,23,32.6,50.9,49.1,43.0,2.0,39.9,8.7,17.1,14.0,41.0,36.9,63.1,93.6,6.4,58.6,41.4
Marvin Bagley III,DET,23,48,17,31,23.9,78.3,21.7,74.8,3.7,12.8,8.0,12.4,15.0,71.1,65.8,34.2,91.3,8.7,68.4,31.6
Mason Plumlee,CHA,32,70,37,33,24.8,99.4,0.6,86.2,1.3,0.0,12.5,13.8,14.7,84.9,77.7,22.3,0.0,0.0,77.7,22.3
Matisse Thybulle,PHI,25,64,41,23,25.4,52.0,48.0,55.1,0.0,35.7,21.4,9.2,19.7,55.1,73.5,26.5,95.5,4.5,80.1,19.9
Matt Thomas,CHI,27,40,23,17,11.5,32.1,67.9,24.8,23.6,65.2,3.7,10.0,11.8,1.2,85.0,15.0,88.6,11.4,87.3,12.7
Maurice Harkless,SAC,28,47,15,32,18.4,44.2,55.8,47.9,0.9,42.9,9.2,9.2,12.4,47.0,78.8,21.2,100,0.0,86.7,13.3
Max Strus,MIA,26,67,45,22,23.3,21.6,78.4,18.8,1.1,75.3,10.9,5.9,15.3,17.7,79.1,20.9,95.5,4.5,91.1,8.9
Maxi Kleber,DAL,30,59,36,23,24.6,28.0,72.0,28.2,1.5,60.6,5.1,11.2,12.2,26.8,84.5,15.5,98.8,1.2,92.9,7.1
Mikal Bridges,PHX,25,79,63,16,35.4,63.3,36.7,58.9,6.7,30.1,20.2,11.0,21.2,52.2,76.0,24.0,98.2,1.8,81.7,18.3
Mike Conley,UTA,34,70,43,27,28.6,47.5,52.5,35.2,2.9,51.6,4.4,13.2,12.4,32.3,26.0,74.0,52.7,47.3,39.2,60.8
Mike Muscala,OKC,30,43,15,28,13.8,34.3,65.7,25.0,5.2,61.0,4.9,14.0,10.8,19.8,81.4,18.6,100,0.0,92.9,7.1
Miles Bridges,CHA,24,77,38,39,35.8,61.8,38.2,55.0,2.8,28.5,10.4,16.5,15.0,52.2,60.0,40.0,82.6,17.4,65.7,34.3
Mitchell Robinson,NYK,24,72,32,40,25.7,100,0.0,85.6,0.0,0.0,1.5,14.4,13.0,85.6,51.7,48.3,0.0,0.0,51.7,48.3
Mo Bamba,ORL,23,69,18,51,26.0,55.1,44.9,50.8,4.9,41.7,6.1,7.5,10.8,45.8,56.5,43.5,99.0,1.0,71.5,28.5
Monte Morris,DEN,26,74,43,31,29.9,59.4,40.6,53.0,19.5,39.1,13.4,7.9,14.0,33.6,47.2,52.8,93.4,6.6,62.4,37.6
Montrezl Harrell,CHA,28,68,33,35,23.2,96.8,3.2,75.2,4.5,1.3,9.4,23.5,12.3,70.8,64.4,35.6,100,0.0,64.8,35.2
Moritz Wagner,ORL,24,61,15,46,14.8,49.6,50.4,46.5,0.0,34.9,7.3,18.6,14.3,46.5,75.8,24.2,98.4,1.6,83.3,16.7
Moses Moody,GSW,19,50,33,17,11.7,39.7,60.3,35.5,3.6,51.8,8.2,12.7,11.8,31.8,71.8,28.2,100,0.0,85.7,14.3
Myles Turner,IND,26,42,15,27,29.4,53.4,46.6,51.5,3.3,33.9,7.6,14.6,10.6,48.1,68.3,31.7,100,0.0,78.0,22.0
Naji Marshall,NOP,24,52,22,30,13.0,59.8,40.2,54.5,2.1,22.0,21.3,23.5,19.9,52.4,59.0,41.0,81.0,19.0,63.6,36.4
Nassir Little,POR,22,42,19,23,25.9,51.1,48.9,45.9,4.9,37.3,20.0,16.8,22.9,41.0,69.1,30.9,92.2,7.8,77.2,22.8
Naz Reid,MIN,22,75,41,34,15.7,65.7,34.3,55.5,0.0,26.1,5.5,18.4,14.7,55.5,62.8,37.2,98.1,1.9,71.2,28.8
Nemanja Bjelica,GSW,33,68,45,23,16.0,55.8,44.2,48.5,2.5,38.2,7.1,13.3,15.4,46.1,68.7,31.3,94.2,5.8,77.5,22.5
Nic Claxton,BKN,22,44,21,23,20.7,100,0.0,86.5,0.5,0.0,10.9,13.5,15.4,85.9,74.1,25.9,0.0,0.0,74.1,25.9
Nick Richards,CHA,24,49,24,25,7.4,100,0.0,80.0,2.7,0.0,13.3,20.0,12.7,77.3,78.3,21.7,0.0,0.0,78.3,21.7
Nickeil Alexander-Walker,UTA,23,63,27,36,23.0,50.7,49.3,43.2,5.9,45.0,11.6,11.8,16.5,37.4,40.1,59.9,88.2,11.8,59.8,40.2
Nicolas Batum,LAC,33,57,29,28,24.8,30.0,70.0,28.8,10.4,66.3,11.0,4.9,16.5,18.3,82.6,17.4,97.2,2.8,91.4,8.6
Nikola Jokic,DEN,27,73,45,28,33.4,77.9,22.1,66.2,6.7,14.6,6.3,19.2,10.9,59.5,58.1,41.9,91.7,8.3,62.4,37.6
Nikola Vucevic,CHI,31,71,41,30,33.4,71.2,28.8,68.7,14.7,24.3,3.9,7.0,12.1,54.1,71.6,28.4,100,0.0,77.0,23.0
Norman Powell,LAC,28,43,13,30,32.9,58.4,41.6,41.5,9.1,36.7,16.2,21.8,18.8,32.4,50.6,49.4,87.9,12.1,64.4,35.6
OG Anunoby,TOR,24,47,31,16,36.2,54.7,45.3,46.9,7.1,42.4,15.7,10.7,21.3,39.8,47.1,52.9,87.0,13.0,62.1,37.9
Obi Toppin,NYK,24,69,30,39,16.1,65.4,34.6,63.8,1.1,20.7,19.0,15.5,18.5,62.7,81.3,18.8,100,0.0,84.6,15.4
Omer Yurtseven,MIA,23,55,39,16,12.2,96.6,3.4,86.3,3.4,1.0,4.5,12.7,12.7,82.9,78.6,21.4,100,0.0,78.7,21.3
Onyeka Okongwu,ATL,21,45,24,21,20.6,100,0.0,78.9,0.0,0.0,4.3,21.1,12.4,78.9,79.5,20.5,0.0,0.0,79.5,20.5
Oshae Brissett,IND,23,65,19,46,23.1,53.4,46.6,41.4,1.1,39.8,16.3,18.8,12.7,40.4,66.7,33.3,96.0,4.0,78.1,21.9
Otto Porter Jr.,GSW,28,61,39,22,22.0,47.6,52.4,44.1,10.0,46.3,12.8,9.6,17.0,34.1,73.6,26.4,94.8,5.2,82.4,17.6
P.J. Tucker,MIA,36,71,45,26,27.9,54.9,45.1,47.1,4.1,44.5,4.1,8.4,16.0,43.0,81.9,18.1,98.8,1.2,88.4,11.6
P.J. Washington,CHA,23,62,30,32,27.1,42.3,57.7,40.8,0.6,50.5,11.5,8.7,16.4,40.2,78.6,21.4,97.2,2.8,87.0,13.0
Pascal Siakam,TOR,28,66,38,28,37.9,81.9,18.1,66.8,10.0,14.9,14.9,18.3,18.1,56.8,30.4,69.6,94.6,5.4,38.8,61.2
Pat Connaughton,MIL,29,63,39,24,26.1,25.3,74.7,25.4,1.6,67.7,11.1,6.9,14.5,23.8,77.5,22.5,95.1,4.9,88.7,11.3
Patrick Beverley,MIN,33,56,32,24,25.6,44.5,55.5,35.0,3.5,47.3,9.4,17.7,16.2,31.5,26.4,73.6,78.0,22.0,50.9,49.1
Patty Mills,BKN,33,78,41,37,29.1,29.0,71.0,21.5,10.8,73.3,13.1,5.2,11.5,10.8,61.5,38.5,92.7,7.3,83.1,16.9
Payton Pritchard,BOS,24,68,44,24,13.9,34.5,65.5,26.4,11.2,68.9,13.4,4.7,15.6,15.2,33.3,66.7,78.7,21.3,62.2,37.8
Precious Achiuwa,TOR,22,70,44,26,23.5,75.4,24.6,64.8,4.5,23.4,15.5,11.8,19.5,60.3,59.6,40.4,100,0.0,67.5,32.5
Quentin Grimes,NYK,21,46,21,25,17.1,19.6,80.4,16.7,5.8,78.5,15.3,4.8,23.3,10.9,60.9,39.1,95.8,4.2,87.4,12.6
R.J. Hampton,ORL,21,62,14,48,21.5,59.6,40.4,45.2,3.1,38.8,23.5,16.0,16.0,42.1,35.0,65.0,89.8,10.2,54.9,45.1
RJ Barrett,NYK,21,68,32,36,34.7,66.0,34.0,49.5,3.7,29.9,15.5,20.6,14.4,45.9,40.2,59.8,91.2,8.8,54.9,45.1
Raul Neto,WAS,29,67,29,38,19.8,72.8,27.2,64.3,9.2,20.4,5.8,15.3,14.4,55.1,32.3,67.7,67.6,32.4,38.5,61.5
Reggie Bullock,DAL,31,65,41,24,28.0,21.7,78.3,20.9,6.0,72.2,14.7,6.9,16.6,14.9,78.0,22.0,98.5,1.5,92.3,7.7
Reggie Jackson,LAC,31,73,36,37,31.3,58.1,41.9,49.0,10.6,40.0,7.9,11.0,12.0,38.4,20.3,79.7,58.4,41.6,33.8,66.2
Richaun Holmes,SAC,28,45,16,29,23.9,98.3,1.7,83.8,3.0,1.3,7.3,14.9,12.2,80.8,75.0,25.0,100,0.0,75.3,24.7
Robert Covington,LAC,31,68,31,37,27.7,32.2,67.8,27.4,1.7,63.5,13.2,9.1,15.1,25.7,64.6,35.4,93.4,6.6,82.1,17.9
Robert Williams III,BOS,24,61,40,21,29.6,99.7,0.3,89.3,1.3,0.0,5.9,10.7,16.6,88.0,69.4,30.6,0.0,0.0,69.4,30.6
Rodney Hood,LAC,29,50,28,22,13.7,42.6,57.4,36.1,11.6,54.2,12.3,9.7,11.6,24.5,53.6,46.4,89.3,10.7,71.4,28.6
Rodney McGruder,DET,30,49,13,36,14.4,33.3,66.7,27.3,5.8,66.9,10.7,5.8,16.1,21.5,69.7,30.3,100,0.0,88.5,11.5
Romeo Langford,SAS,22,46,24,22,16.3,55.0,45.0,49.5,5.6,40.7,6.1,9.8,14.0,43.9,71.7,28.3,96.6,3.4,80.5,19.5
Royce O'Neale,UTA,28,75,45,30,31.3,31.3,68.7,29.9,0.4,62.5,21.7,7.6,19.2,29.5,67.9,32.1,98.3,1.7,85.6,14.4
Rudy Gay,UTA,35,53,32,21,18.8,46.0,54.0,38.0,8.9,47.9,8.2,14.1,13.6,29.1,48.1,51.9,92.6,7.4,68.5,31.5
Rudy Gobert,UTA,29,63,40,23,32.2,99.2,0.8,70.7,0.0,0.0,4.1,29.3,12.5,70.7,72.1,27.9,0.0,0.0,72.1,27.9
Russell Westbrook,LAL,33,78,31,47,34.3,78.5,21.5,65.1,12.1,16.4,10.5,18.5,11.4,53.0,23.2,76.8,64.6,35.4,29.2,70.8
Saddiq Bey,DET,22,79,23,56,33.2,46.2,53.8,36.0,7.4,48.4,9.9,15.6,14.4,28.5,41.8,58.2,88.9,11.1,64.1,35.9
Scottie Barnes,TOR,20,71,41,30,35.5,79.4,20.6,70.5,10.6,15.3,15.8,14.2,15.5,59.9,42.1,57.9,85.7,14.3,47.6,52.4
Serge Ibaka,MIL,32,53,29,24,16.3,66.3,33.7,59.9,11.2,31.1,6.2,9.0,9.2,48.7,72.0,28.0,100,0.0,79.2,20.8
Seth Curry,BKN,31,62,36,26,33.5,49.9,50.1,42.2,25.3,49.2,15.1,8.6,14.5,16.9,46.2,53.8,82.4,17.6,62.0,38.0
Shai Gilgeous-Alexander,OKC,23,56,16,40,34.7,71.8,28.2,56.6,7.6,19.5,7.8,23.9,12.3,49.0,13.7,86.3,30.3,69.7,16.8,83.2
Shake Milton,PHI,25,52,32,20,21.3,66.5,33.5,58.0,7.4,28.7,13.3,13.3,16.2,50.6,38.1,61.9,92.3,7.7,51.6,48.4
Spencer Dinwiddie,DAL,28,64,35,29,30.1,55.0,45.0,42.3,7.0,36.3,6.0,21.4,12.8,35.3,19.3,80.7,52.3,47.7,31.3,68.7
Stanley Johnson,LAL,25,45,14,31,21.8,58.0,42.0,52.2,5.1,32.6,12.7,15.2,12.0,47.1,56.9,43.1,93.3,6.7,67.6,32.4
Stephen Curry,GSW,34,64,45,19,34.5,38.7,61.3,30.7,7.2,52.5,12.4,16.8,16.0,23.4,36.8,63.2,57.2,42.8,47.7,52.3
Sterling Brown,DAL,27,48,30,18,12.8,40.3,59.7,37.9,6.5,52.9,14.4,9.2,16.3,31.4,75.9,24.1,85.2,14.8,80.4,19.6
Steven Adams,MEM,28,74,50,24,26.4,99.7,0.3,79.3,1.1,0.0,1.7,20.7,10.9,78.2,49.3,50.7,0.0,0.0,49.3,50.7
Svi Mykhailiuk,TOR,24,55,29,26,12.9,43.4,56.6,40.2,5.6,47.0,22.1,12.8,22.1,34.5,54.0,46.0,94.9,5.1,71.9,28.1
Taj Gibson,NYK,36,49,22,27,18.1,76.8,23.2,62.3,7.5,19.8,3.3,17.9,11.8,54.7,68.2,31.8,100,0.0,73.8,26.2
Talen Horton-Tucker,LAL,21,57,21,36,25.0,65.2,34.8,58.6,6.4,25.9,13.3,15.5,17.5,52.3,43.6,56.4,84.8,15.2,53.0,47.0
Taurean Prince,MIN,28,68,39,29,17.2,41.6,58.4,36.3,6.4,51.4,18.1,12.3,20.9,29.9,69.2,30.8,94.2,5.8,81.4,18.6
Terance Mann,LAC,25,78,38,40,28.9,69.9,30.1,59.5,8.0,25.9,21.1,14.6,15.9,51.5,52.4,47.6,83.6,16.4,59.4,40.6
Terrence Ross,ORL,31,63,14,49,23.0,52.3,47.7,45.5,17.2,36.7,3.2,17.8,13.7,28.3,52.4,47.6,77.9,22.1,61.4,38.6
Terry Rozier,CHA,28,70,35,35,33.9,48.9,51.1,41.3,8.5,47.7,15.0,11.0,16.1,32.8,43.9,56.1,83.6,16.4,61.2,38.8
Thaddeus Young,TOR,33,49,25,24,15.7,84.1,15.9,78.1,2.7,15.2,8.4,6.7,9.1,75.4,51.7,48.3,100,0.0,57.3,42.7
Thanasis Antetokounmpo,MIL,29,46,25,21,9.3,90.1,9.9,82.6,1.4,2.2,10.1,15.2,13.8,81.2,59.6,40.4,100,0.0,60.3,39.7
Theo Maledon,OKC,20,51,14,37,17.8,52.7,47.3,41.6,2.2,36.6,8.6,21.8,11.4,39.3,45.3,54.7,86.4,13.6,60.5,39.5
Tim Hardaway Jr.,DAL,30,42,24,18,29.6,42.6,57.4,35.8,16.4,51.2,14.0,13.0,9.7,19.4,66.4,33.6,80.4,19.6,73.2,26.8
Timothe Luwawu-Cabarrot,ATL,26,50,29,21,13.3,35.0,65.0,26.4,1.8,58.1,12.3,15.5,18.9,24.7,70.0,30.0,97.7,2.3,86.5,13.5
Tobias Harris,PHI,29,70,43,27,35.0,73.1,26.9,62.2,8.2,24.0,10.3,13.8,11.5,54.0,44.1,55.9,88.8,11.2,53.2,46.8
Tomas Satoransky,WAS,30,52,21,31,16.2,72.9,27.1,61.1,12.2,15.0,10.0,23.9,14.4,48.9,43.6,56.4,100,0.0,51.6,48.4
Tony Bradley,CHI,24,53,27,26,10.0,100,0.0,88.4,4.1,0.0,8.2,11.6,15.6,84.4,75.4,24.6,0.0,0.0,75.4,24.6
Tony Snell,NOP,30,50,18,32,15.6,23.2,76.8,22.8,4.8,75.4,6.0,1.8,14.4,18.0,78.9,21.1,95.2,4.8,90.2,9.8
Torrey Craig,PHX,31,75,35,40,20.5,48.4,51.6,49.1,4.1,42.9,21.9,8.0,16.0,45.0,59.2,40.8,97.1,2.9,73.2,26.8
